ProductID,ProductName,Category,Price,Stock,Description
1,Wireless Mouse,Electronics,15.99,150,Ergonomic wireless mouse with USB receiver
2,Mechanical Keyboard,Electronics,59.99,80,RGB backlit mechanical keyboard
3,Running Shoes,Sports,45.00,200,Breathable and lightweight running shoes
4,Smartphone,Electronics,399.99,50,64GB storage with dual camera
5,Backpack,Accessories,29.50,120,Waterproof travel backpack with multiple compartments
6,Desk Lamp,Furniture,12.99,300,Adjustable LED desk lamp
7,Notebook,Stationery,2.49,500,100-page lined notebook
8,Headphones,Electronics,25.99,90,Over-ear wired headphones with mic
9,T-Shirt,Clothing,9.99,250,100% cotton plain white t-shirt
10,Travel Mug,Accessories,14.99,180,Insulated stainless steel travel mug
